!Solvation Parameters Gaussian Shell Model 
! Lazaridis, Karplus Proteins1999,35:p.133-152
!atomType Volume delGref delGfree  lamb    Rat     Type
!(a10,  5f8.3, i5 )
!         A3       kcal/mol       lamb     Rat
!23456789012345678901234567890123456789012345678901234567890
C         14.7    0.0     0.0      3.5     1.908     1
CR         8.3    -0.89   -1.40    3.5     1.908     2
CHE1      23.7    -0.187  -0.25    3.5     1.908     3
CHE2      22.4     0.372   0.52    3.500   1.908     4
CHE3      30.0     1.089   1.50    3.500   1.908     5
CR1E      18.4     0.057   0.08    3.500   1.908     6
NH1       4.4     -5.950  -8.90    3.500   1.824     7
NR        4.4     -3.820  -4.00    3.500   1.824     8
NH2       11.2    -5.450  -7.80    3.500   1.824     9
NH3       11.2    -20.0   -20.0    3.500   1.824    10
NC2       11.2    -10.0   -10.0    3.500   1.824    11
N          0.0    -1.0    -1.55    3.500   1.824    12
OH1       10.8    -5.92   -6.70    3.500   1.660    13
O         10.8    -5.33   -5.85    3.500   1.660    14
OC        10.8    -10.0   -10.0    3.500   1.660    15
S         14.7    -3.24   -4.10    3.500   2.000    16
SH1E      21.4    -2.05   -2.70    3.500   2.000    17
ZN        21.0    -80.0   -80.0    6.0     1.800    18
NA+       110.0   -5.00   -5.00    6.0     3.400    19
CL-       90.0    -5.00   -5.00    6.0     3.400    20
MG        21.0    -80.0   -80.0    6.0     1.75     21
OW        46.0    -5.50   -6.05    3.500   1.660    22  
end
